,min,max,mean,std
ParticleSize,20.03929602051451,199.95321136112855,110.00095719800913,51.98430371697957
Pressure,15.008210480167506,24.996602925717568,20.00003165971695,2.8879197492636637
HydraulicConductivity,8.003189524878857e-07,1.1998967922310909e-06,1.0000042378902456e-06,1.1552858564602359e-07
UptakeRate,0.0200471664496724,0.099991200757054,0.06000069059389392,0.023104267829189416
DrugReleaseRate,0.005083999244091,0.0999740834366154,0.05250017495750379,0.027438659502891073
Diffusion,2.2711481542445114e-06,2.2661642727029803e-05,5.808868412672796e-06,4.221648781248421e-06
PenetrationDepth,0.101010101010101,0.393939393939394,0.23361712361712358,0.05855360954634573
MaxConcentration,0.4013314610927933,0.9796221329543934,0.8764763274157185,0.10132736710297864
DrugCoverage,21.0,79.0,47.256190476190476,11.593614690176453
DeliveryTime,22.0,120.0,49.56952380952381,21.76828805585443
