Model,Target,MAE,RMSE,R2
Random Forest,PenetrationDepth,0.003068061568061561,0.005286277622419888,0.9948441183240846
Random Forest,MaxConcentration,0.0008161987947779331,0.0019675477225033957,0.9972232229455792
Random Forest,DrugCoverage,0.596190476190476,1.0355918482638202,0.9949528074549155
Random Forest,DeliveryTime,1.6753333333333333,5.490091681080259,0.9539227203126601
Decision Tree,PenetrationDepth,0.0031505531505531545,0.005862979560259808,0.9936578024237376
Decision Tree,MaxConcentration,0.0009150127697976042,0.0018352209000945033,0.9975841656331673
Decision Tree,DrugCoverage,0.585714285714286,1.0889050857234004,0.9944197625565747
Decision Tree,DeliveryTime,1.8952380952380952,7.068373558457756,0.9236222914810076
Neural Network,PenetrationDepth,0.014234001636859952,0.01787731003225393,0.9410332284397482
Neural Network,MaxConcentration,0.021493290066527677,0.02800117481362241,0.43760303541538326
Neural Network,DrugCoverage,0.3692343580611078,0.4622543649884701,0.9989943782261638
Neural Network,DeliveryTime,1.903417438054579,3.8566351800580163,0.9772623930703798
XGBoost,PenetrationDepth,0.002175260928314771,0.0031556869079759076,0.9981626545288891
XGBoost,MaxConcentration,0.0005790966317540904,0.000917565068511566,0.9993961011458212
XGBoost,DrugCoverage,0.3792517525809153,0.5381459965480474,0.998637072187421
XGBoost,DeliveryTime,2.1620377041044687,7.348269065571255,0.9174536760293344
