ParticleSize,Pressure,HydraulicConductivity,UptakeRate,DrugReleaseRate,PredictedPenetration,PredictedMaxConc,PredictedCoverage,DeliveryTime
20.0,15.0,8e-07,0.02,0.005,0.26041028,0.46132985,52.451584,76.55236
20.0,15.0,8e-07,0.02,0.0525,0.28076354,0.9517391,56.527184,46.26758
20.0,15.0,8e-07,0.02,0.1,0.28099698,0.95497507,56.58595,45.61264
20.0,15.0,1e-06,0.02,0.005,0.26917595,0.46538466,54.35181,54.600845
20.0,15.0,1e-06,0.02,0.0525,0.3021328,0.95666,60.903133,38.456963
20.0,15.0,1e-06,0.02,0.1,0.30342227,0.9594857,61.105667,35.114567
20.0,15.0,1.2e-06,0.02,0.005,0.29116365,0.46748903,58.689934,53.0542
20.0,15.0,1.2e-06,0.02,0.0525,0.3126286,0.9559973,63.101276,35.028297
20.0,15.0,1.2e-06,0.02,0.1,0.31119832,0.9593918,62.837433,33.98221
20.0,15.0,8e-07,0.04,0.005,0.2079446,0.44274136,42.062798,76.142975
20.0,15.0,8e-07,0.04,0.0525,0.22951727,0.92886895,46.402977,48.06102
20.0,15.0,8e-07,0.04,0.1,0.23266563,0.92947084,46.781975,46.615486
20.0,15.0,1e-06,0.04,0.005,0.23075019,0.4504527,46.784977,57.818386
20.0,15.0,1e-06,0.04,0.0525,0.2574698,0.9409248,51.97515,41.374886
20.0,15.0,1e-06,0.04,0.1,0.26333302,0.94073606,52.765045,35.560482
20.0,15.0,1.2e-06,0.04,0.005,0.23576824,0.45255706,47.98356,54.846115
20.0,15.0,1.2e-06,0.04,0.0525,0.26623008,0.9431607,54.23355,37.98895
20.0,15.0,1.2e-06,0.04,0.1,0.26920718,0.94460636,54.468792,34.927574
20.0,15.0,8e-07,0.06,0.005,0.16844489,0.4377142,34.273087,93.75474
20.0,15.0,8e-07,0.06,0.0525,0.19242772,0.89691925,39.02231,52.148514
20.0,15.0,8e-07,0.06,0.1,0.19433102,0.8978598,39.443268,50.71967
20.0,15.0,1e-06,0.06,0.005,0.18846363,0.44101882,38.375023,69.027824
20.0,15.0,1e-06,0.06,0.0525,0.21557584,0.91476905,43.685566,43.8083
20.0,15.0,1e-06,0.06,0.1,0.21715188,0.914919,43.87263,38.246525
20.0,15.0,1.2e-06,0.06,0.005,0.19866745,0.44199872,40.26053,65.4453
20.0,15.0,1.2e-06,0.06,0.0525,0.21828689,0.9172722,44.311333,40.149498
20.0,15.0,1.2e-06,0.06,0.1,0.22239858,0.9192476,44.921806,37.540756
20.0,15.0,8e-07,0.08,0.005,0.1480635,0.42100945,30.23376,111.30601
20.0,15.0,8e-07,0.08,0.0525,0.16175887,0.87349993,32.87695,74.90324
20.0,15.0,8e-07,0.08,0.1,0.16795677,0.8745327,34.074936,63.219124
20.0,15.0,1e-06,0.08,0.005,0.1658715,0.42405215,33.860744,102.22879
20.0,15.0,1e-06,0.08,0.0525,0.17918043,0.88925284,36.559742,51.332504
20.0,15.0,1e-06,0.08,0.1,0.18353848,0.8896964,37.115448,50.344013
20.0,15.0,1.2e-06,0.08,0.005,0.18511076,0.4240991,37.40751,72.71386
20.0,15.0,1.2e-06,0.08,0.0525,0.20213632,0.89658254,41.090263,46.11124
20.0,15.0,1.2e-06,0.08,0.1,0.20159239,0.89941084,40.68182,44.43193
20.0,15.0,8e-07,0.1,0.005,0.12689476,0.42119133,26.049818,82.70111
20.0,15.0,8e-07,0.1,0.0525,0.13435768,0.85360485,27.228168,75.24996
20.0,15.0,8e-07,0.1,0.1,0.13826577,0.8535003,28.188263,86.61982
20.0,15.0,1e-06,0.1,0.005,0.13082702,0.42423403,26.965462,88.364716
20.0,15.0,1e-06,0.1,0.0525,0.14185204,0.87120306,28.938643,82.4819
20.0,15.0,1e-06,0.1,0.1,0.14712538,0.87176156,29.855202,96.785355
20.0,15.0,1.2e-06,0.1,0.005,0.15513554,0.42477664,31.611578,97.173325
20.0,15.0,1.2e-06,0.1,0.0525,0.16842648,0.8789923,34.231564,70.38037
20.0,15.0,1.2e-06,0.1,0.1,0.16943754,0.88165057,34.34849,67.27323
20.0,17.5,8e-07,0.02,0.005,0.27560678,0.45836014,55.389988,73.38175
20.0,17.5,8e-07,0.02,0.0525,0.29876158,0.9595627,60.413837,43.32463
20.0,17.5,8e-07,0.02,0.1,0.29935607,0.9616662,60.32766,41.792824
20.0,17.5,1e-06,0.02,0.005,0.29468498,0.46241495,58.973713,51.079895
20.0,17.5,1e-06,0.02,0.0525,0.33002684,0.9659806,66.20343,36.34761
20.0,17.5,1e-06,0.02,0.1,0.33020848,0.96767384,66.16493,33.33273
20.0,17.5,1.2e-06,0.02,0.005,0.31160396,0.46424755,62.54263,48.62706
20.0,17.5,1.2e-06,0.02,0.0525,0.33628318,0.9667339,67.657585,34.39186
20.0,17.5,1.2e-06,0.02,0.1,0.33455577,0.96921414,67.29173,31.367037
20.0,17.5,8e-07,0.04,0.005,0.22885191,0.44005296,46.002296,74.274055
20.0,17.5,8e-07,0.04,0.0525,0.24822907,0.93231344,50.165726,46.40544
20.0,17.5,8e-07,0.04,0.1,0.25173837,0.9323931,50.31973,44.056965
20.0,17.5,1e-06,0.04,0.005,0.27202266,0.44776428,54.669403,56.004314
20.0,17.5,1e-06,0.04,0.0525,0.28318298,0.9445118,56.815575,40.21259
20.0,17.5,1e-06,0.04,0.1,0.2889953,0.9440946,57.63869,34.69962
20.0,17.5,1.2e-06,0.04,0.005,0.2722269,0.44939253,55.118557,51.16214
20.0,17.5,1.2e-06,0.04,0.0525,0.29317072,0.94817334,59.43485,35.868996
20.0,17.5,1.2e-06,0.04,0.1,0.29665074,0.94957,59.875866,31.093103
20.0,17.5,8e-07,0.06,0.005,0.16833779,0.43491364,34.3192,87.64025
20.0,17.5,8e-07,0.06,0.0525,0.19656008,0.91179883,39.955048,50.20387
20.0,17.5,8e-07,0.06,0.1,0.19753169,0.91221714,40.100273,47.802
20.0,17.5,1e-06,0.06,0.005,0.19042268,0.43821827,38.661503,65.86181
20.0,17.5,1e-06,0.06,0.0525,0.2217354,0.9280421,44.734283,42.66997
20.0,17.5,1e-06,0.06,0.1,0.2213645,0.9279636,44.763744,36.900692
20.0,17.5,1.2e-06,0.06,0.005,0.20268519,0.43872204,41.02479,60.373047
20.0,17.5,1.2e-06,0.06,0.0525,0.22841147,0.930005,46.12053,38.04809
20.0,17.5,1.2e-06,0.06,0.1,0.23113003,0.93193144,46.71245,33.061375
20.0,17.5,8e-07,0.08,0.005,0.14820501,0.42046106,30.425426,111.79787
20.0,17.5,8e-07,0.08,0.0525,0.1666309,0.8820491,34.029076,67.213234
