Target,Feature,MeanAbsSHAP
PenetrationDepth,ParticleSize,0.0006674305551063011
PenetrationDepth,Pressure,0.017757463920554137
PenetrationDepth,HydraulicConductivity,0.012923296716466644
PenetrationDepth,UptakeRate,0.044065767183235766
PenetrationDepth,DrugReleaseRate,0.003655409533617233
PenetrationDepth,Diffusion,0.0006142591950757096
MaxConcentration,ParticleSize,0.00019052563357353
MaxConcentration,Pressure,0.007076897505232145
MaxConcentration,HydraulicConductivity,0.004709682187913051
MaxConcentration,UptakeRate,0.020506427402340363
MaxConcentration,DrugReleaseRate,0.06373811623683792
MaxConcentration,Diffusion,0.00015885492462347703
DrugCoverage,ParticleSize,0.12666503198944667
DrugCoverage,Pressure,3.5218314244061886
DrugCoverage,HydraulicConductivity,2.5590588517443393
DrugCoverage,UptakeRate,8.72258708625382
DrugCoverage,DrugReleaseRate,0.7233760740852883
DrugCoverage,Diffusion,0.13255972398838115
DeliveryTime,ParticleSize,0.5824604112723826
DeliveryTime,Pressure,9.522094286373987
DeliveryTime,HydraulicConductivity,6.387083801240209
DeliveryTime,UptakeRate,9.728898880931585
DeliveryTime,DrugReleaseRate,4.242126378925988
DeliveryTime,Diffusion,0.5652075654356016
